title,summary,can_read
"""Clear round!"": seeds of story from other countries.","On an around-the- world trip, Gordon visited Suez, Cairo, and Luxor. ""Ruins, and a marshy lakelet amid palms, now mark the site of ancient Memphis. 'Sic transit gloria mundi,' "" p. 297. Full of quotations from poems regarding Egypt. Illustrated with photo- graphs.",false
"""L. Savelieff,"" pp. 301-05. In Voyageurs russe en Egypte.","As a member of the Congres International d'Archeologie, Savelieff attended their second meeting in Cairo in 1909. While in Egypt, he took the opportunity to travel up the Nile to Luxor and Aswan. An interesting account.",false
"""In Mediterranean lands."" The cruise of the Friesland. 1895.","""The streets of old Cairo are Hke a kaleidoscope, a wonderful combination of changing forms and color, of writhing hues of picturesque humanity,"" p. 73. A good account of the usual sights (in Alexandria, Cairo, and Port Said) with some history. Illus- trated with photographs.",false
"""Louis Bertrand,"" pp. 1013-15. In Le Voyage en Orient.","""Vous void a Gezireh, le quartier select par excellence, celui des viches hiverneurs et des hauts fonctionnaires. Rien n'y manque: champ de cours, jardin zoologique, grand Palace a six etages,"" p. 1013.",false
"""Robert Flers,"" pp. 992-997. In Le Voyage en Orient.","""En descendant vers le Nil, les maisons prennent une apparence moins miserable, quoique reellement elles abritent toujours la meme population; elles se dominent les unes le autres par des terrasses taillees en equerre, d'une blancheur eblouissante dans cette nuit d'un bleu sombre,"" p. 996. Rers, who was a fellow student of Marcel Proust's at Condorcet, gives a good account of Egypt.",false
"""S. Vonvizine."" In Voyageurs russe en Egypte,","A brief, chatty account of Cairo as Fonvizin stops in Egypt during his trip to the Holy Land.",false
"""V. Andreievsky."" In Voyageurs russe en Egypte,","A simple tourist out to see the sights of Egypt, Andreevskii visited Alexandria, Cairo, Luxor, and the Nile to Aswan. A personal, sight-filled account of the basic tourist type.",false
. . . En dahabieh.,"No info. CITED IN WILBOUR (visited Cairo, Luxor, Ismailia).",false
. . . Promenade en Egypte.,No info. CITED IN WILBOUR.,true
137 p.,Very brief account of Port Said and Cairo. Simmonds took a quick Cook's tour.,false
