ship_date,ship_name,passenger_list
1890-01-23,Oonas,"{""passengers"":[""Mr. W. B. Harris"",""Rev. W. Thomas"",""Rev. Evans"",""Mr. Strachan"",""Mr. Grant Dalton"",""Mrs. Dalton"",""Mr. Ochs"",""Mrs. Ochs"",""Mr. P. C. Gagarine"",""Mrs. Gagarine"",""Mr. Wilber F. Stone"",""Mr. G. F. Gill"",""Mrs. Gill"",""Mr. Von Ostau"",""Mrs. Von Ostau"",""Mr. Ellsworth"",""Mrs. Ellsworth"",""Mr. G. H. Allison"",""Mr. Bowles"",""Mrs. Bowles"",""Mr. Tatham"",""Mrs. Tatham"",""Miss Tatham"",""Miss A. J. Whitby""]}"
1890-12-16,Tewfik,"{""passengers"":[""Mr. A. Baring"",""Mrs. Baring"",""Mr. E. W. Fuller"",""Mr. Neustadter"",""Mrs. Neustadter"",""Miss L. F. Randolph"",""Miss C. L. Ransome"",""Miss R. Curtis"",""Miss C. M. Sterns"",""Miss E. M. Richey"",""Mrs. L. B. Stephens"",""Miss Stephens"",""Miss Stephens"",""Master Stephens"",""Dr. E. Hobhouse"",""Mr. Weyman"",""Capt Hardy"",""Mrs. Hardy"",""Miss Hardy"",""Miss A. Crowley"",""Miss C. Brownlow"",""Drs. Francis Hoggan"",""Mr. W. Frere"",""Dr. W. Morris"",""Mrs. Morris""]}"
1891-12-05,Hatasoo,"{""passengers"":[""Mr. Leavitt"",""Mrs. Leavitt"",""Mrs. Leavitt"",""Miss Leavitt"",""Miss Patterson"",""Miss Patterson"",""Miss Locker"",""Mr. Manzavino"",""Mrs. Manzavino"",""Mr. Alfieri"",""Mrs. Alfieri"",""Child"",""Maid"",""Miss Gongh"",""Mr. Von Hesse"",""Mrs. Von Hesse"",""Mr. Holtz"",""Sir G. Wellesley"",""Lady Wellesley"",""Maid"",""Mr. Tyler"",""Mr. Roller"",""Capt. Phipson"",""Capt. Maccoan"",""Miss Lloyd"",""Misk Edith Lloyd""]}"
1891-12-15,Rameses The Great,"{""passengers"":[""Mr. R. E. Spencer"",""Mrs. Spencer"",""Mrs. R. Mocre"",""Miss C. M. Gardner"",""Sir H. Roscoe"",""Lady Roscoe"",""Miss Roscoe"",""Miss Roscoe"",""Mr. Regan"",""Mrs. Regan"",""Mr. A. T. Pearson"",""Mrs. Pearson"",""Miss Darbishire"",""Mr. Darwin"",""Mrs. Darwin"",""Miss Norton"",""Maid"",""Count Sizycki"",""Mrs. Clarke Salmon"",""Miss Clarke Salmon"",""Baron Hohn"",""Mr. von Tscharner"",""Rev. J. S. Haworth"",""Mr. R. Darlington"",""Mr. J. Seligman"",""Mr. T. Seligman"",""Mrs. T. Seligman"",""Miss Seligman"",""Miss Seligman"",""Maid"",""Courier"",""Dr. C. R. Atchison"",""Mr. Cooke"",""Mrs. Cooke"",""Mr. R. Lehmann"",""Mr. Gibson"",""Mr. I. Mackeen"",""Mr. R. von Tenneburg"",""Mr. Fox"",""Mr. G. B. Knight"",""Dr. Ryall"",""Mrs. Littaner"",""Miss G. Sporbog"",""Doctor Chas. Higbee"",""Miss Dobie"",""Col. M. D. Russell"",""Mr. T. S. Wotkyns"",""Mr. Allott Lodge"",""Mrs. Allott Lodge"",""Count Veringen"",""Herr Schilgen"",""Manservant"",""Miss S. M. Spooner"",""Mrs. Locke"",""Mr. de Haut"",""Mrs. de Haut"",""Mr. Boulanger"",""Mr. Muller"",""Mr. Ritter"",""Mr. Harvey"",""Mrs. Harvey"",""Mr. Niessen"",""Mr. Arthur Molling""]}"
1890-01-14,Mohammed Ali,"{""passengers"":[""Miss Marquis"",""Miss R. Marquis"",""Miss E. E. Brock"",""Miss M. Brock"",""Miss Edith Brock"",""Miss Elizabeth Bowe"",""Mr. E. H. Cole"",""Mrs. Cole"",""Miss Chase"",""Miss Howes"",""Dr. A. Veit"",""Dr. J. Mann"",""Mr. G. Sampson"",""Mrs. Sampson"",""Mr. E. Sasseville"",""Miss G. Hovey"",""Mr. Waters S. Davis"",""Mr. Davis"",""Mrs. Davis"",""Miss Mary H. Davis"",""Miss Emma C. Davis"",""Miss Sarah B. Davis"",""Mr. Sommerville"",""Mrs. Sommerville"",""Mr. J. G. S. Fawn"",""Miss Fawn"",""Miss Fawn"",""Mr. H. L. Hodge"",""Mr. J. W. Garrett"",""Mr. H. W. Garrett"",""Mr. Robert Garrett"",""Mr. Max H. Hoffmann"",""Mrs. Hoffmann"",""Miss Lampe""]}"
1890-02-04,Rameses The Great,"{""passengers"":[""Rev. J. W. Hatton"",""Mrs. Hatton"",""Mr. James Wales"",""Mrs Wales"",""Dr. D. K. Pearsons"",""Mrs. Pearsons"",""Miss J. Chapin"",""Miss C. R. Yates"",""Miss I. E. Bulkley"",""Miss L. Butler"",""Mr. Pence"",""Mr. Rosendale"",""Mrs. Rosendale"",""Mrs. E. R. Rogers"",""Miss N. Pettibone"",""Mr. W. G. Ainslie"",""M. P."",""Mrs. Ainslie"",""Mr. E. Wadham"",""Mrs. Wadbam"",""Mr. Culver"",""Mrs. Culver"",""Mrs. Sperry"",""Miss. Sperry"",""Mr. Crocker"",""Mrs. Crocker"",""Mr. C. Kidder"",""Mrs. Kidder"",""Mrs. S. V. R. Watson"",""Miss Watson"",""Miss Pease"",""Mrs. F. Cooper"",""General Baynes"",""Mrs. Baynes"",""Mr. H. Prudden"",""Mrs. Prudden"",""Mr. C. M Fletcher"",""Mr. Woolworth"",""Mrs. Woolworth"",""Mr. H. R. Lomas"",""Mr. A. Friend"",""Miss S. W Smith"",""Miss D. Roberts"",""Mr. R. C. Christie"",""Mr. H. Christie"",""Mr. G. F. Baker"",""Mrs. Baker"",""Miss Baker"",""Miss Q. Baker"",""Master Baker"",""Miss Wienitz"",""Miss Koeppe"",""Mr. Lafone"",""Mrs. Lafone"",""Mr. Newland"",""Mr. Porter"",""Mr. Dingle"",""Mrs. Gray"",""Mr. Ladd"",""Prof. Eisenlohr"",""Dr. Kussmaul"",""General Grant"",""Mrs.Grant"",""Mr. Grant"",""Mr. Hodges"",""Mrs. Hodges"",""Miss Hodges"",""Mr. John M. Cook"",""Mrs. Cook"",""Miss Cook"",""Miss F. B. L. Cook"",""Mr. St. Jorge"",""Mr. A. W. Lodge"",""Mrs. Lodge"",""Mr. M. Junghaendel""]}"
1890-02-07,Sethi,"{""passengers"":[""Dr. Armand De Potter"",""Mrs. Armand De Potter"",""Honble and Mrs. Frank P. Harder"",""Mrs. William Mc Kennan"",""Mrs. James H. Banker"",""Miss Marie Gottsberger"",""Mrs. L. J. Lauman"",""Mrs. A. B. O'Ferrall"",""Mr. and Mrs. W. H. Donae"",""Mrs. Ida F. Doane"",""Miss Daisy Doane"",""Mr. and Mrs. Lucius H. BigLow"",""Mrs. Annie T. Perkins"",""Miss Sadie J. Williams"",""Miss M. E. Blakely"",""Miss Victoria T. Blakely"",""Miss Lulian Blakely"",""Mr. and Mrs. Henry Phipps"",""Miss Amy Phipps"",""Mrs. John M. Martin"",""Mr. Frank E. Roff"",""Mrs. C. M. Roff""]}"
1892-02-13,Cleopatra,"{""passengers"":[""Miss Milne"",""Bishop of Ontario"",""Mrs. Lewis"",""Miss Caroline Turle"",""Mrs. Emmott"",""Mr. Wilson"",""Mrs. Wilson"",""Miss Williamson"",""Mr. H. E. Barff"",""Mr. Holroyd"",""Mrs. Ricard"",""Miss Bull"",""Miss Leslie"",""Mr. Robertson"",""Mrs. Robertson"",""Miss M. B. Bobertson"",""Mr. W. G. Wright"",""Mrs. Wright"",""Mr. J. C. Maclaurin"",""Mr. D. Mac Intyre"",""Mr. J. Scott"",""Mr. Davidson"",""Mrs. Davidson"",""Mr. Greg"",""Miss Greg"",""Miss Edmondson"",""Capt. Hallett"",""Mr. Fisher"",""Miss Hallett"",""Miss Blakiston"",""Mr. E. Samuel"",""Mr. Gayet""]}"
1892-11-26,Nefertari,"{""passengers"":[""Miss Hall"",""Rev. J. J. Twist"",""Miss Twist"",""Miss M. A. Twist"",""Miss Dewes"",""Major Heath"",""Mrs. Heath"",""Miss Helsham"",""Mrs. Newton Spicer"",""Miss Furber"",""Mr. Max von Groller Mildensee"",""Mrs. von Groller Mildensee"",""M. Boussac"",""Mr. J. Crossley"",""Mrs. Crossley"",""Mr. A. Nattali"",""M. Lamoisse""]}"
1890-01-21,Rameses,"{""passengers"":[""Mrs. Perry"",""Mr Melano"",""Mr. W. Howlend"",""Mrs. Howland"",""Miss A. Howland"",""Miss E. Howland"",""Miss J. Howland"",""Mr. F. B. Wood"",""Mrs. Wood"",""Mr. S. Leonard"",""Mrs. Leonard"",""Miss Leonard"",""Mr. A. Bersch"",""Mr. Bishoff"",""Mr. Ludwig Herhold"",""Mr. E. F. Spinner"",""Miss Healey"",""Mr. Luxford"",""Mrs. Luxford"",""Mr. Clark"",""Mrs. Clark"",""Mr. Walter Drake"",""Mrs. Drake"",""Miss Porter"",""Captain C. L. Reade"",""Mr. A. J. Jordan""]}"
