traveler_name,traveler_type
"Gordon, Elizabeth Anna",Author
"Stoddard, Seneca Roy",Author
"Bertrand, Louis, 1866-1941",Author
"Flers, Robert, 1872-1927",Author
"Fonvizin, S.",Author
"Boucard, Max, 1855-",Author
"Percher, Jules Hippolyte, 1857-1895",Author
"Walker, Francis Augustus, 1840 or 1-",Author
"Bush, George Tome, 1867-",Author
"Saveliev, Leon",Author
"Whittle, Walter Andrew",Author
"Bradt, Acken Gordon",Author
"Fuller, Henry, 1846-",Author
"McLean, Archibald, 1850-1920",Author
"Middleton, William C.",Author
"Walker, Charles Thomas, 1858-1921",Author
"Parrott, Caryl S.",Author
"Struthers, C. B.",Author
"Read, Edward GrifTin",Author
"Richardson, D. N.",Author
"Green, Lenamay, 1869-1952",Author
"Copping, Arthur Edward, 1865-",Author
"Irick, Allie",Author
"Carradine, Beverly, 1848-",Author
"McMahon, William",Author
"Hart, Jerome Alfred, 1854-",Author
"Asquith, Margot. Countess of Oxford and Asquith 1864-1945",Author
"Salmon, Percy R., 1872-",Author
"Trumbull, Charles Gallaudet, 1872-1941",Author
"Rowland, Joseph M.",Author
"Attfield, Donald Henry, 1866-",Author
"Harrison, Carter Henry, 1825-1893",Author
"Bottome, Margaret (McDonald), 1827-1906",Author
"Gorman, John B.",Author
"Raum, George Edward",Author
"Beauge, Charles",Author
"Moeriein, George",Author
"Harwood, Nahum",Author
"Oliver, George Fletcher, 1853-",Author
"Studley, EUiott Francis, 1865-",Author
"Bennett, De Robigne Mortimer, 1818-1882",Author
"Parkhurst, Lewis, 1856-",Author
"Fairbanks, Hiram Francis, 1835-",Author
"Martin, Eustace Meredyth, b. 1816",Author
"Dodman, G. Sutherland",Author
"Quibell, Annie Abernethe, 1862-1927",Author
"Dietz, Nettie Fowler",Author
"Stine, Milton Henry, 1853-",Author
"Bell, Charles Dent",Author
"Fisher, Harriet White",Author
"Barrows, John Henry, 1847-1902",Author
"Barton, George Aaron, 1859-1942",Author
"Hogarth, David George, 1862-1927",Author
"Davis, William Potter, 1846-1917",Author
"Straus, Flora Stieglitz",Author
"Leuchs-Mack, Maximilian, 1878-",Author
"Meriwether, Lee, 1862-",Author
"Reinhart, Rudolf",Author
"Forster, Edward Morgan, 1879-1970",Author
"Miller, Ellen E.",Author
"WUlard, Mary Frances, 1867-",Author
"Henkelburg, Hans",Author
"Anderson, John Fisher, 1872-",Author
"Pidgeon, Daniel",Author
"Wilson, Edward Stansbury, 1841-",Author
"Stine, Milton Henry, 1853-",Author
"Lambert, George",Author
"Ross, Minnie Stuart Crawford, 1857-",Author
"Tiffany, Flavel Benjamin",Author
"MacArthur, Robert Stuart, 1841-1923",Author
"Godbey, William Baxter, 1833-1920",Author
"Carlisle, George Lister, 1852-",Author
"Chamberlin, Frederick Carleton, 1870-",Author
"Gillis, Charles J.",Author
"Meredith, Robert",Author
"Frizell, William Givens, 1866- ",Author
"Greenfield, George Henry",Author
"Bigger, Leander Adams, 1844-",Author
"Armstrong, William N,",Author
"PhUlips, Philip, 1834-1895",Author
"Stephens, Edwin William, 1849-",Author
"Horn, Edward C.",Author
"Bell, Lillian Lida, 1867-1929",Author
"Bidwell, Daniel Doane, 1865-",Author
"Barry, John Patrick",Author
"Fahmy-Bey, J. (pseud, of D'lvray, Jehan)",Author
"Cart, Leon, 1869-1916",Author
"Chautard, E.",Author
"Landrieux, Maurice, 1857-1927",Author
"Beckman, Nellie Sims",Author
"Chaudoir, Puc",Author
"Tyndale, Walter",Author
"McPherson, Joseph WiUiam, 1866-1946",Author
"Tadlock, Clara Moyse",Author
"Geere, H. Valentine",Author
"Budge, Ernest Alfred Thompson Wallis, 1857-1934",Author
"Hoenshel, Elmer Ulysses, 1864-",Author
"Lorimer, Norma Octavia, 1864-",Author
"Lamplough, Augustus Osborne, 1877-1930",Author
"Charmes, Gabriel, 1850-1886",Author
"Gayet, Albert Jean, 1856-1916",Author
"Poe, Sophie A., 1862-",Author
"Butler, Alfred Joshua, 1850-",Author
"Oehler, James C, 1857-",Author
"Salisbury, George Robert",Author
"Howe, Edgar Watson, 1854-",Author
"Greenwood, John W.",Author
"Schweiger-Lerchenfled, Amand, freiherr von, 1846-1910",Author
"Glaspell, Kate Eldridge",Author
"Bierbaum, Otto Julius, 1865-1910",Author
"Moore, Charles Chilton",Author
"Donisthorpe, Wordsworth, 1847-",Author
"Matthews, Frances Elizabeth (Morgan), Mrs., 1842-",Author
"Falls, J. C. Ewald, 1885-",Author
"Tinseau, Leon de, 1844-1921",Author
"Ballou, Maturin Murray, 1820-1895",Author
"Stanton, Peyton L.",Author
"Andreevskii, Yladimir Mikhailovich",Author
"Hichens, Robert Smythe, 1864-1950",Author
International Engraving and Publishing Co.,Author
"Sandwith, Fleming Mant, 1853-1918",Author
"Steevens, George Warrington, 1869-1900",Author
"Low, Sidney James Mark, 1857-1932",Author
"Withers, Percy, 1867-",Author
"Breasted, James Henry, 1865-1935",Author
"Curtis, William Eleroy, 1850-1911",Author
"Bovet, Felix, 1824-1903",Author
"Perry, Walter Scott, 1855-1934",Author
"Agate, Margaret M.",Author
"Kelly, Robert Talbot, 1861-1934",Author
"Brimmer, Martin, 1829-1896",Author
"Delmas, Emile, 1834-1898",Author
"Falcao de Sommer, Branca",Author
"Falcao de Sommer, Fernanda",Author
"Francis, Rene",Author
"Marden, PhUip Sanford, 1874-",Author
"Lynch, Jeremiah, 1848-1917",Author
"Rosengarten, Mary D. (Richardson), 1846-1913",Author
"Himmel, Heinrich von Agisburg",Author
"Gotz, Hermann, 1848-1901",Author
"Meyer, Hans, 1858-",Author
"Kummer, Fritz, 1875-",Author
"Capart, Jean",Author
"Hugonnet, Leon, 1842-",Author
"Lagergren, Claes, 1853-1930",Author
"Wheeler, William Webb, 1845-1925",Author
"Beatty, Daniel F.",Author
"Cudahy, Patrick",Author
"Gardner, John Milton, 1858-",Author
"Mather, Amasa Stone",Author
"Clark, Francis Edward, 1851-1927",Author
"Pfeiffer, James",Author
"Tjernagel, Nehemias, 1868-",Author
"Brooks, William Sampson, 1865-",Author
"Godbey, William Baxter, b. 1833",Author
"Underbill, Anthony S.",Author
"Vincent, Ethel GwendoUne (Moffatt), 1861-",Author
"Juel-Hansen, Niels, 1841-1905",Author
"Honeyman, Abraham Van Doren, 1849-1936",Author
"Carson, Blanche Mabury",Author
"Traill, Henry Duff, 1842-1900",Author
"R., J.",Author
"Anonymous (""One of the Old Fourth"")",Author
"Fletcher, Alfred Charles Benson, 1885-",Author
"Stewart, Milton",Author
"BeU, Charles Frederic Moberly, 1847-1911",Author
"Butler, Elizabeth Southerden (Thompson)",Author
"Sharp, Arthur H.",Author
"Grogan, Ewart S.",Author
"Reddall, Henry Frederic, 1856-1921",Author
"Cuyler, Theodore Ledyard, 1822-1909",Author
"Talmage, Thomas de Witt, 1832-1902",Author
"Allen, Mary S.",Author
"Poulsen, Johannes, 1881-",Author
"Mellander, A.",Author
"MiUer, Daniel Long, 1841-1921",Author
"Randolph, Howard Stelle Fitz, 1883-1959",Author
"Stein, Grace Maxine",Author
"Congleton, Sarah Robb",Author
"Warner, David Snethen, 1857-",Author
"Wright, Louisa (Stephens), 1871-",Author
"MorriU, Gulian Lansing, 1857-1928",Author
"Lichnowsky, Mechtilde Christiane Maria (von Arco-Zinneberg), 1879-1958",Author
"Maxwell, Edward Herbert, 1822-1885",Author
"Barreda, Ernesto Mario, 1883-",Author
"Riya Salima, pseud of Mme. Rachil Paika",Author
"Holmes, T.",Author
"Cachet, Frans Lion, 1835-1899",Author
"Forster, C. Henry",Author
"Morrison, Harry Steele, 1880-",Author
"Reeve, Charles McCormick, 1847-",Author
"Genocchi, Giovanni",Author
"Carpenter, Mary Thorn",Author
"FuUerton, William Morton, 1865-",Author
"Ade, George, 1866-1944",Author
"Lewis, Agnes Smith, 1843-1926",Author
"Thompson, Frederick Diodati, 1850-1906",Author
"Allen, George Hoyt, 1857-1938",Author
"Chauvet, Adolphe",Author
"Isambert, Emile",Author
"White, Alma (Bridwell), 1862-",Author
"Fredolin,",Author
"Johnson, Osmun",Author
"Paynter, John Henry",Author
"Edwards, S.C.",Author
"Freeman, Henrietta Bennett, 1860-",Author
"Elsey, Charles William, 1880-",Author
"Tenney, George Cydus, 1847-",Author
"Hoffmeister, Edoard von, 1852-",Author
"Palmieri, A.",Author
"Lepic, Ludovic Napoleon, 1839-1889",Author
"Viaud, Julian, 1850-1923",Author
"Guerville, Amedee Baillot de, 1869-",Author
"Chack, Paul, 1876-1945",Author
"Gomez Carrillo, Enrique, 1873-1927",Author
"Minnaert, E.",Author
"Crawshay- Williams, Eliot, 1879-",Author
"Labat, Gaston P.",Author
"Finney, Frederick Norton, 1832-1916",Author
"Babcock, Maltbie Davenport, 1858-1901",Author
"H., WiUiam",Author
"R., M.E.",Author
"McMUlan, Eliza",Author
"Kipling, Rudyard, 1865-1936",Author
"Boll, Joseph A.",Author
"Allen, Etheldred M.",Author
"Regaldi, Giuseppe",Author
"Ganeval, Louis",Author
"Kaminka, Armand, 1866-1950",Author
"Woolson, Constance Fenimore, 1838-1894",Author
"Blom, A.",Author
"Mattson, Peter August, 1865-",Author
"Smith, Frederick George, 1880-",Author
"Hull, Edward, 1829-1917",Author
"Ryland, Walter P.",Author
"Burt, John Mowlem, 1845-1918",Author
"Kassner, Theo",Author
"HubbeU, Nathan",Author
"Gordon, John, 1863-",Author
"Simmons, John CoUinsworth, 1827-",Author
"King, WUliam Joseph Harding, 1869-",Author
"Preusser, Louise",Author
"zu Eulenburg, Olga",Author
"Gordon, Benjamin Lee, 1870-1965",Author
"Emerson, Jesse Milton, 1818-1898",Author
"Dinning, Hector William",Author
"McBey, James, 1883-1959",Illustrator
"Rawnsley, Hardwicke Drummond, 1851-1920",Author
"Cowderoy, Benjamin",Author
"Parsons, Charles, 1878-",Author
"Rockley, Evelyn Cecil",Author
"Johnson, Soloman",Author
"Blatter, George John, 1861-",Author
"Buxton, Hannah Maude; Buxton, Clare Emily; Buxton, Theresa; Buxton, Edward North, 1840-, joint author",Author
